name,url,price,location,image,category,likes,city
Mid Century Modern Redwood Burl Slab Coffee Table,//sacramento.craigslist.org/fuo/5449669993.html,$400,sac > Sacramento,http://images.craigslist.org/00Y0Y_8U4tJCx7P4U_300x300.jpg,coffee_table,0,sfbay
Beautiful Burl Coffee Table !!!,//sacramento.craigslist.org/fuo/5445773724.html,$2500,sac > Sacramento,http://images.craigslist.org/01616_bth8Oh2ivdp_300x300.jpg,coffee_table,0,sfbay
,//sacramento.craigslist.org/fuo/5448442358.html,,sac > sacram,,coffee_table,0,sfbay
,//sacramento.craigslist.org/fuo/5448441895.html,,sac > sacram,,coffee_table,0,sfbay
Redwood Burl Coffee Table,//sacramento.craigslist.org/fuo/5446909082.html,$350,sac > Yuba City,http://images.craigslist.org/00r0r_5sP4ZGfCMzS_300x300.jpg,coffee_table,0,sfbay
Burl wood Coffee Table,//sacramento.craigslist.org/fuo/5411977627.html,$1200,sac > Fair Oaks,http://images.craigslist.org/00R0R_54NTzfO61DO_300x300.jpg,coffee_table,0,sfbay
Burl wood coffee table,//sacramento.craigslist.org/fuo/5438801113.html,$2295,"sac > Sacramento, CA",http://images.craigslist.org/00S0S_1Q2j7nn3Bgm_300x300.jpg,coffee_table,0,sfbay
Beveled glass brass coffee table,//monterey.craigslist.org/fuo/5436964994.html,$175,mtb > Carmel,http://images.craigslist.org/00n0n_9Xo48k7fAkN_300x300.jpg,coffee_table,0,sfbay
BURLWOOD COFFEE TABLE,http://sfbay.craigslist.org//merced.craigslist.org/fuo/5423225059.html,$300,mer > MERCED,http://images.craigslist.org/00202_husHC18Cy5K_300x300.jpg,coffee_table,0,sfbay
Burlwood Coffee Table,http://sfbay.craigslist.org//merced.craigslist.org/fuo/5424801330.html,$30,"",http://images.craigslist.org/00n0n_Q3rpSPSixs_300x300.jpg,coffee_table,0,sfbay
Redwood BURL Glass Top Coffee TABLES,http://sfbay.craigslist.org//goldcountry.craigslist.org/fuo/5382857648.html,$450,gld > Granite Bay,http://images.craigslist.org/00Z0Z_8SYqnsiJYfe_300x300.jpg,coffee_table,0,sfbay
BURLWOOD COFFEE TABLE,http://sfbay.craigslist.org//goldcountry.craigslist.org/fuo/5423261362.html,$425,gld > MERCED,http://images.craigslist.org/00202_husHC18Cy5K_300x300.jpg,coffee_table,0,sfbay
Redwood BURL Glass Top Coffee TABLES,http://sfbay.craigslist.org//goldcountry.craigslist.org/fuo/5366724900.html,$999,gld > Granite Bay,http://images.craigslist.org/00Z0Z_8SYqnsiJYfe_300x300.jpg,coffee_table,0,sfbay
LaBarage Brass and Glass Coffee Table,//modesto.craigslist.org/fuo/5398499380.html,$225,mod > Modesto,http://images.craigslist.org/00s0s_8GVHHe6aWno_300x300.jpg,coffee_table,0,sfbay
Amazing Burl wood Coffee Table,//modesto.craigslist.org/fuo/5397024665.html,$1200,mod > Patterson,http://images.craigslist.org/00q0q_jOTF4VrPJoW_300x300.jpg,coffee_table,0,sfbay
Glass and Lucite Coffee Table,//modesto.craigslist.org/fuo/5359005502.html,$200,mod > Folsom,http://images.craigslist.org/00K0K_kgacIZXDd2_300x300.jpg,coffee_table,0,sfbay
